,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Xkr4,0.42462605,0.83361727,0.020955611,13.066209,17.903498,0.37731946,0.0008097413,5.922342,5.4188986,3.4021436e-05,3.4630432,0.00453751,0.011826051,5.7149367,5.351394,2.6036637,0.17948626,0.00049839774,23.377274,25.560291,0.06363338,0.3665833
Rp1,0.010412862,0.025340281,0.004571411,0.01689352,0.02604939,0.31827524,0.003231395,0.009809251,0.019467311,0.0019279807,0.0047603804,0.0071207327,0.0009086055,0.02381303,0.010273065,0.009598575,0.0039567593,0.0025434508,0.04030026,0.037833475,0.14200127,0.043811653
Sox17,0.0032855703,0.004441335,0.0056393114,0.00013971736,7.412099e-05,0.0050045075,0.0024229381,5.6612313e-05,0.00029951002,0.00043129653,1.6685477e-05,0.0017369941,0.0034801995,0.00013146846,0.0003678124,0.0015273058,0.009680861,0.00071615656,7.119588e-05,8.133892e-05,0.73906577,0.011210076
Mrpl15,0.18257585,0.26375848,0.033627354,0.1557693,0.24225728,0.09902848,0.07211948,0.098376125,0.17610319,0.058041953,0.051230233,0.11861676,0.059486013,0.1497059,0.12067687,0.12013908,0.1037792,0.09339303,0.42955068,0.46113804,0.13813554,0.1189873
Tcea1l1,0.2934926,0.50228155,0.112874515,0.34317926,0.42568696,0.17282592,0.14608057,0.2225401,0.3318261,0.124296695,0.15389453,0.19945593,0.08992805,0.29862875,0.2420354,0.23636588,0.17562278,0.16959848,0.6332271,0.6363526,0.21981841,0.21992034
Rgs20,6.0259333,13.023205,0.020477563,0.5355909,1.0040811,0.314672,0.00050602265,0.27002326,0.41362223,2.1214733e-05,0.20873366,0.00022418745,0.016932037,0.9589637,1.7032162,1.3524282,0.08426666,6.1627274e-05,1.5438839,1.3733215,0.042909265,0.057899415
Atp6v1h,0.86853456,1.3717141,0.11761912,1.36788,1.6362168,0.3490759,0.47798935,0.87666667,1.505967,0.42521554,0.58883035,0.74228907,0.21282431,1.2425038,0.7055748,0.6983122,0.37161103,0.9244642,3.2417746,3.2534516,0.46854666,0.5898627
Oprk1,0.004506377,0.0057385396,0.0014915013,0.11665537,0.35792994,0.011197878,0.00025616013,2.6572838e-05,7.028991e-05,1.6754047e-05,1.8752193e-05,0.00021632858,0.0005440792,0.00095963274,0.0096084485,0.0069230925,0.0047692745,3.6231715e-05,0.33398888,0.3435003,0.00013919982,0.00066408404
Rb1cc1,1.4911648,1.8705992,0.6919684,1.812114,2.2664301,0.8323985,0.8178765,1.2978123,1.9454312,0.74082655,0.91680044,0.82555205,0.6563521,1.5287919,1.1785342,1.3345275,1.042296,0.9578758,3.510398,3.688225,1.4990811,1.4452442
St18,0.12650174,0.16656223,0.19173561,0.0068490063,0.18683855,0.1137175,0.5350397,27.428755,45.46784,0.046745025,18.533552,1.0993555,0.108522415,36.735615,1.3909631,1.3868345,0.22923872,2.0635188,0.110623464,0.22240041,0.10789819,0.053201202
Pcmtd1,1.7118835,2.085461,0.7108725,1.0416588,1.370847,0.7615036,0.70030874,1.3711473,2.3504534,0.71438366,0.83514005,1.001223,0.44799176,1.5295892,1.2903408,1.1727873,0.5537704,1.0950531,1.9389043,2.1413822,2.197349,1.0116291
Sntg1,0.30413297,0.33709913,0.006880811,16.582073,20.396235,0.23937882,0.0010635414,0.00011527265,0.002154761,1.9360092e-05,0.0021259962,0.0005031297,0.0037342557,1.2523986,10.16814,4.1136093,0.067915075,7.511656e-05,24.772839,24.532448,0.0152475685,0.063471995
Rrs1,0.09989477,0.114648245,0.0069007087,0.0006600383,0.0018546081,0.027947426,0.0007342326,0.21613601,0.40580362,6.3563835e-05,0.14586543,0.005276011,0.0027456856,0.059433192,0.02180545,0.03176549,0.02021415,0.0005188264,0.011682488,0.008582937,0.022428686,0.024218123
Adhfe1,0.5667723,0.4993735,0.012690219,0.026570067,0.053305823,0.15855907,0.052023854,0.07523349,0.17815399,0.08738399,0.02492122,0.1014878,0.0028237537,0.029658148,0.052496802,0.1164888,0.010782911,0.046380162,0.13732505,0.15244184,0.014990634,0.050311033
Vxn,0.019155253,0.049862213,0.016132405,0.009146511,0.035171524,0.013115361,0.04857443,3.1157146e-05,0.0003091834,0.08207036,6.137277e-05,0.085205175,0.011263702,0.24340987,1.0949273,0.14138587,0.0066999323,0.033613227,0.107079096,0.13441412,0.003261819,0.0029862614
Mybl1,0.14076771,2.3953993,0.010374755,0.026665078,0.054983113,0.072894596,0.011632245,0.0092388205,0.02784041,0.0033935201,0.0053055193,0.21790542,0.009732037,0.035751328,0.3006708,0.105066374,0.027939538,0.010390198,0.11958102,0.13005823,0.031138267,0.04223855
Vcpip1,0.5377755,1.0166135,0.16713546,0.3133851,0.44729874,0.23262364,0.40612265,0.382398,0.61543226,0.2834073,0.2363179,0.4657819,0.1846741,0.41703653,0.33390403,0.36469647,0.2098546,0.44310415,0.7298815,0.76591706,0.32486844,0.3115287
Sgk3,0.41229758,0.78186584,0.40084583,0.067426965,0.13512927,0.092608646,1.216247,1.4298991,1.8058362,0.6286214,0.74682623,1.0828007,0.11801799,0.25048757,0.41360608,0.36534113,0.15686446,0.81152475,0.33969843,0.58577305,0.42321697,0.42953834
Mcmdc2,0.021492638,0.06724218,0.014303429,0.25808033,0.23969406,0.017391633,0.017488575,0.03484435,0.0754122,0.005952793,0.016140647,0.01367879,0.00097067707,0.037619688,0.05042565,0.03501255,0.0040625753,0.012767217,0.3325264,0.33472905,0.0041727037,0.014547411
Ppp1r42,0.026304588,0.06193671,0.0015289797,0.021664744,0.019359376,0.24011979,0.0009507145,0.0016987205,0.0050524697,9.8168886e-05,0.0004120262,0.0022755966,0.00070839707,0.0030440302,0.004226347,0.008855315,0.0028050935,0.0011749358,0.03345779,0.034059267,0.0021816564,0.0036363662
Cops5,0.26554945,0.5468611,0.06935671,0.34263012,0.42325753,0.18046536,0.16467421,0.27528283,0.4800374,0.11869885,0.15522371,0.25774407,0.09241579,0.3220077,0.2250332,0.23291361,0.1892469,0.20439883,0.68315154,0.6916065,0.228946,0.26407447
Cspp1,2.0114985,4.6021466,0.475276,3.161864,3.5811336,3.242032,0.61684984,1.2835222,2.2076347,0.5749869,0.7856272,1.3659325,0.38060704,1.2466494,1.2740823,1.3787518,1.0526716,0.8078755,5.0312557,4.949102,0.92250377,1.3154954
Arfgef1,1.2195654,1.8172656,0.7668108,1.9368305,2.2525513,0.75704956,1.0231516,1.1100435,2.048724,0.8335462,0.6899019,1.1225545,0.7337234,1.349797,1.1661026,1.1856633,0.85965097,1.1376827,3.3546662,3.3911152,1.3001882,1.1020777
Cpa6,0.026328595,0.060065966,0.00446588,0.08985878,0.21970849,0.015175898,0.0019526519,0.013837237,0.030030563,0.00020942207,0.007628184,0.0021580232,0.00078790827,0.066942886,0.03180669,0.024450798,0.010857337,0.0021954707,1.0711484,0.42560613,0.0026969146,0.015559095
Prex2,5.8689194,3.4653647,0.09035722,3.2118268,0.74909663,0.29767305,0.013645623,0.00010040286,0.020334473,0.0007658147,0.000794618,0.01742926,0.056617834,0.7077968,0.3731954,2.9255354,1.5375108,0.0042175124,1.6373074,0.79061556,6.261977,0.39375716
RGD1564053,0.07483657,0.22578433,0.003994854,2.9448361,1.759028,0.3460112,0.0005725055,6.281207e-05,0.0014850743,4.030778e-05,9.378273e-05,0.00032745022,0.00093481643,0.027348965,0.15135743,0.09621733,0.040708892,0.00010444949,7.175145,5.849713,0.0058880434,0.01743491
Sulf1,2.7580686,3.2665515,0.031731885,0.42492133,0.44595575,0.44341743,0.006900765,0.005757781,0.3201602,0.00012785815,0.0012676945,0.0050024586,0.028366933,0.13586003,0.94140756,2.44322,0.49367663,0.0009942034,0.5219773,0.15794857,0.23731436,4.0658903
Slco5a1,0.019103741,0.021022255,0.019795049,0.043439455,0.086681,0.015645105,0.041290917,7.2576164e-05,0.0009883747,0.013757667,2.8006576e-05,0.030515764,0.006373958,0.0063532577,0.051399425,0.019109298,0.05129145,0.0085115535,0.36573812,0.3691784,0.022986416,0.012585691
Ncoa2,1.6504239,2.6161,0.9053961,2.7056391,3.6094544,1.0927796,1.6745604,3.9262807,5.9903703,1.180435,2.0747156,1.9452741,1.4748145,2.9916356,1.9518307,1.7394652,1.0380744,1.6733414,4.851131,4.7704434,1.3703754,1.3797082
Tram1,0.24486732,0.31843707,0.15512732,0.19500493,0.29238108,0.12010458,0.31474948,0.092194945,0.23271239,0.29261184,0.028035581,0.51005197,0.21945205,0.09841296,0.17915307,0.16554222,0.2555929,0.38122818,0.44419813,0.43818337,0.40280437,0.532188
Lactb2,0.49339938,0.5954872,0.10467817,0.10821863,0.20211627,0.14360175,0.24814725,0.28186586,0.5782671,0.36833134,0.15569079,0.4367248,0.13751215,0.23951055,0.10624216,0.24829403,0.2756099,0.4222383,0.8103522,0.7270006,0.17387262,0.25644013
Eya1,0.14448045,0.05479261,0.12876661,0.018266512,0.06687734,0.05694675,0.0858963,0.0013340589,0.09977986,0.0097177345,0.00021831214,0.21113268,0.052603878,0.05085267,0.42833453,0.34408662,0.02778363,0.53653115,0.2491462,0.127409,0.021314235,1.149034
Trpa1,0.0016815729,0.004044001,0.0016767668,0.004367471,0.005965839,0.001694751,0.00079758465,4.7334812e-05,0.00035450712,7.699889e-05,2.7672386e-05,0.0007317251,0.0006527418,0.00020048126,0.00053944334,0.0011062181,0.0012790741,0.00015604905,0.030340157,0.016393242,0.0013226686,0.016155621
AC125757.1,0.32949448,1.4074963,0.023232669,5.9266615,21.645597,1.2973489,0.0017213717,2.631361e-05,0.00016764003,0.00010768452,3.84245e-05,0.00082536304,0.028590603,0.17113906,1.557094,0.36194435,0.21282122,7.023756e-05,17.442257,15.551484,0.106982045,1.4666688
Terf1,0.35274172,1.9428456,0.25682244,0.646615,1.0694816,0.2787111,0.2576823,0.37753806,0.56273365,0.25095916,0.252097,0.8865359,0.24946602,0.3796381,0.5068038,0.3264018,0.3634079,0.27893743,1.142287,1.2024441,0.47799918,0.33547294
LOC100912291,0.016436948,0.041848008,0.0015252236,0.10998306,0.1038016,0.06669337,0.00033512933,0.018732293,0.075014964,3.9013972e-05,0.011461895,0.0005494235,0.0007090542,0.009452901,0.021369684,0.014527861,0.0066745384,6.606667e-05,0.1516627,0.104544304,0.0030647053,0.005566584
Rdh10,0.158571,0.19703759,0.03807714,0.17771064,0.22302558,0.18654959,0.061601486,0.07593103,0.12654136,0.053578153,0.05224789,0.09144591,0.054484807,0.0801357,0.087861985,0.10037134,0.17162019,0.06489827,0.39072695,0.41187814,0.08583219,0.29009554
AABR07046707.1,0.7745602,1.1801258,0.10668841,2.9170027,4.430167,0.3949961,0.37748927,0.06909636,0.2987753,0.5138168,0.017274866,0.79241204,0.06404533,0.48793778,1.3900721,0.8601219,0.37609532,0.49683097,7.6328616,8.837946,0.19185065,0.52480096
AABR07041109.1,0.7984409,0.99230933,0.5169496,1.1998707,1.5503571,0.5497528,0.65997803,0.7138381,1.1205692,0.6648973,0.47031927,1.0193008,0.33422858,0.7963695,0.6282228,0.7227452,0.49434513,0.71531445,2.5532248,2.5874398,0.59568655,0.8148716
LOC103694416,0.13816664,0.3376997,0.012467181,0.020816345,0.033810038,0.039861184,0.053524453,0.04498441,0.1204251,0.040579848,0.011430168,0.16156046,0.01628044,0.051668074,0.013843846,0.024954308,0.079954796,0.09046529,0.101142265,0.08735406,0.17362988,0.11962162
Tmem70,0.12148486,0.16664957,0.004335756,0.091839455,0.13566643,0.05618827,0.06076442,0.044316694,0.094223805,0.052908294,0.015316956,0.087827645,0.036290202,0.07693796,0.06877479,0.06899682,0.056264404,0.08100896,0.23152268,0.25711414,0.08647581,0.09275668
Ly96,0.06683396,0.15621422,0.021746757,0.0038361065,0.019071413,0.023461971,0.19254616,0.08942532,0.19968414,0.19459634,0.04676666,0.24637905,0.02173007,0.019364264,0.020698056,0.050746467,0.045838803,0.3202158,0.12161579,0.103972875,0.10092259,0.13136727
Jph1,0.038272038,0.08842873,0.008957749,0.009362684,0.019481748,0.02988358,0.0014924152,1.5245591,2.3294485,4.8886985e-05,0.70948744,0.0056011113,0.0064184465,0.21293,0.068552375,0.058604635,0.058878355,0.0013190546,0.03357685,0.03174465,0.033717297,0.14953667
Gdap1,0.014848442,0.02293816,0.0016459271,0.574083,0.78289056,0.022919904,0.00027017028,0.00028436267,0.0037870384,1.8256413e-05,0.00029930138,0.00019454533,0.00051808485,0.026546024,0.14189762,0.03449177,0.0011733553,3.559664e-05,1.2500749,1.3370032,0.00016626928,8.860998e-05
Pi15,0.058529075,0.11336549,0.0028282544,0.0073717576,0.014610822,0.59732276,0.0010313583,3.0279984e-05,0.00029851918,3.32193e-05,1.9026824e-05,0.0013910077,0.001189795,0.00031622633,0.0031169236,0.008754578,0.03828151,0.0003203176,0.03242247,0.03297534,0.009939364,0.09974174
Crispld1,0.030165935,0.028528698,0.0027883626,0.18367606,0.35960788,0.12056882,0.0024093797,3.607155e-05,0.0013770828,0.00061692373,1.4196645e-05,0.0035373007,0.011814564,0.0012620718,0.01647314,0.020631088,0.031022508,0.0019319241,0.30611148,0.27706584,0.41987768,0.63667154
Tfap2b,0.0016699104,0.004616491,0.0016262445,0.0034584112,0.010518439,0.0015552556,0.0009179928,2.6084726e-05,0.00039303867,4.078916e-05,0.000112819886,0.00017566908,0.000890521,0.0003722932,0.0027721804,0.0017203722,0.0014021059,5.9246795e-05,0.018348916,0.2591,0.0011370908,6.242234e-05
Paqr8,5.1121383,3.6739244,0.011730243,0.062730834,0.12041628,0.32245997,0.0016089508,1.8337274,5.939902,2.3091658e-05,0.52535176,0.0010135032,0.016479872,1.0349003,0.45812878,0.80908364,0.16020648,0.00039480638,0.31540042,0.32012746,0.09882868,0.09237732
Efhc1,0.13413085,0.16754662,0.009460059,0.00698978,0.01147323,0.3513782,0.0016379489,0.036323205,0.080915846,0.0028665038,0.0116946995,0.006426083,0.0012743606,0.025486512,0.010029867,0.055317238,0.038214877,0.0035908478,0.03871967,0.037510723,0.020549333,0.080281034
Tram2,0.185861,0.4525964,0.08830833,0.006448208,0.032450426,0.16336733,0.116152965,0.05615527,0.073699236,0.0854832,0.029176474,0.1755545,0.03236081,0.043948814,0.06312336,0.3984696,0.26597768,0.12881498,0.057677094,0.07203498,0.34520683,0.46022844
Tmem14a,0.20971717,0.13405159,0.0014666468,0.0046281433,0.008261049,0.042134978,0.0002527514,0.09055737,0.15596884,1.6424696e-05,0.05675521,0.00024010488,0.0013275555,0.0468088,0.033960108,0.046716843,0.007221595,5.6852856e-05,0.022867227,0.017804032,0.0043275496,0.009052203
Gsta3,0.14903411,0.052177295,0.002605095,0.052922312,0.059092194,0.030499142,0.0011134607,0.126393,0.35351855,4.835783e-05,0.06931108,0.0050463863,0.0031038802,0.049484424,0.031699963,0.037889652,0.015047627,0.004217041,0.118379764,0.1211812,0.007018409,0.019981366
Kcnq5,0.268112,0.80346906,1.6907301,8.164018,10.423982,0.6526474,0.0067095337,0.00019491672,0.006407823,0.00014848751,0.004857807,0.009453444,1.0756142,4.1568303,3.7781765,3.428294,0.78117377,0.0015540731,10.6767025,9.667774,0.12801066,0.79060006
Rims1,0.17006,0.3768352,0.0036362188,14.505686,13.324564,0.16927397,0.0004034401,0.26988378,2.1327677,1.9865032e-05,0.037339542,0.00018463682,0.00079842017,0.9215044,5.151022,1.9480876,0.03640583,6.3875596e-05,22.637623,23.311956,0.0069301315,0.015367158
Ogfrl1,0.18178414,0.2673675,0.079429254,0.4091705,0.5686845,0.105241224,0.26832598,0.0041907798,0.02599727,0.24938492,0.0003597237,0.31529164,0.05307513,0.026109038,0.22539097,0.17678471,0.08952369,0.18052864,0.6570897,0.4964705,0.1078967,0.16576119
B3gat2,0.121612,0.12145689,0.008377796,0.4889104,0.949831,0.061123446,0.0010314549,0.006319476,0.03820493,0.00036257948,0.006823965,0.0042775753,0.0027109412,0.2379616,0.88251925,0.23457566,0.024378868,0.001406495,0.51930225,0.5222757,0.007497195,0.021542419
Smap1,0.8940243,1.2824044,0.27375975,0.94662184,1.2342407,0.40818295,0.47386205,0.6784923,1.0775847,0.44704297,0.4726612,0.6090729,0.46248734,0.9793828,0.72272664,0.70170426,0.47865704,0.5938572,1.9830674,2.063752,0.8058571,0.72418946
Fam135a,1.4101489,2.2241905,0.06577031,1.4837093,2.0775583,0.716585,0.18150137,0.95169145,1.7354083,0.20521538,0.6479656,0.3562436,0.03383373,1.6676185,1.5571873,1.2629918,0.8322803,0.15317369,2.8961792,3.2139454,0.7927375,0.9273052
Col9a1,0.031847954,0.027915647,0.0051029474,0.0011271245,0.010641254,0.016310949,0.00029308937,0.075572886,0.1822658,2.8153929e-05,0.031573627,0.00043759326,0.0008903117,0.6413802,0.2742302,0.1347102,0.0023547132,4.1997246e-05,0.009856118,0.0064734546,0.0016712229,0.0011435427
Col19a1,0.009201102,0.016769119,0.0017223753,0.20004629,1.0908866,0.01282948,0.00037824982,5.174681e-05,0.00013543523,2.2766757e-05,4.719421e-05,0.00030186333,0.00048791,0.005885389,0.029105708,0.013622467,0.008470564,0.00012750587,1.8127079,3.0818753,0.00087375654,0.0045571905
Lmbrd1,0.94982874,0.788193,0.644935,1.1663414,1.3783168,0.5785466,0.50159544,0.9700315,1.5370392,0.38198146,0.64523935,0.57438445,0.22816871,0.8603184,0.6192316,0.5986717,0.47587168,0.7705689,2.2331886,2.3608522,0.6513268,0.53161234
Adgrb3,29.61462,34.78245,0.05832595,26.945019,24.229336,3.4765043,0.00234951,5.301172,26.946356,2.5801946e-05,0.57546204,0.0011890809,0.045908753,4.8115897,19.851624,13.802676,0.3698309,0.0006525846,55.46733,56.72664,0.16997708,0.17183532
Phf3,1.122725,1.7746233,0.47654867,1.6176934,1.9992092,0.8100206,0.76693034,1.4015031,2.3467598,0.7068817,0.8941286,1.0310394,0.53095555,1.3306248,1.02228,1.0131805,0.80192775,1.0107609,2.9676738,2.9602425,1.0007137,1.1499871
Khdrbs2,0.08975256,0.13255231,0.0015956223,7.5885396,5.9488635,0.111490116,0.0004667876,5.105843e-05,0.0051414003,1.9967663e-05,0.0011506267,0.00088363286,0.0010323941,0.94031715,2.3446662,0.6026627,0.014438594,3.962275e-05,13.971494,12.918968,0.004670256,0.009851961
Prim2,0.21889001,2.5318136,0.19190791,0.3597069,0.52217925,0.12471474,0.19856986,0.18258014,0.2717973,0.16251881,0.13022116,1.600323,0.1545669,0.32605112,0.5830538,0.2926555,0.2519518,0.24953693,0.7454369,0.7433854,0.1695672,0.29808593
Rab23,0.20285465,0.63421416,0.022140313,0.22045752,0.23981474,0.1671173,0.032256793,0.13723393,0.25545225,0.022569582,0.08423183,0.090780936,0.02708303,0.15856566,0.1511474,0.14521706,0.074119374,0.039528042,0.39157963,0.42064533,0.10322167,0.14801197
Bag2,0.05957786,0.11297028,0.0053670523,0.086776845,0.09611807,0.08661242,0.0074832896,4.4374807e-05,0.0008576422,0.0030247367,6.435036e-05,0.016975502,0.0051015923,0.034825068,0.04832938,0.037687447,0.014901016,0.009854057,0.20782734,0.20881443,0.044692893,0.04245689
Zfp451,0.6352415,1.0482751,0.18385917,0.6844812,0.8654136,0.32480448,0.333981,0.50582707,0.9362451,0.3344854,0.34942383,0.5301584,0.22516236,0.91526985,0.62160397,0.64807343,0.39296588,0.40633243,1.5226185,1.4770132,0.48925003,0.65958875
Bend6,0.05083334,0.24675623,0.020669416,1.3075757,2.2473102,0.03893855,0.0507631,3.2198193e-05,0.000106198524,0.062285192,2.3244345e-05,0.09127044,0.012006214,0.035065938,0.27460936,0.15750366,0.078362316,0.07194024,5.6788173,6.3673224,0.008193033,0.06930735
Dst,6.939542,8.507485,0.31960934,4.3784814,6.347292,3.3602679,2.0180044,5.4883895,10.970956,3.9534965,3.6195097,2.9398217,0.19054535,10.165299,5.6195073,11.004724,1.5744226,1.7396231,15.292701,15.871485,2.273802,2.0832272
Imp4,0.056861486,0.088162936,0.010298527,0.055428557,0.08908318,0.031702287,0.030215273,0.033909034,0.067096695,0.02211214,0.018120365,0.06607532,0.01729906,0.04762874,0.038472265,0.042187132,0.038203754,0.037500083,0.14558314,0.1465202,0.07523644,0.049408082
Ptpn18,0.0014927298,0.005486418,0.07987854,4.392632e-05,6.781925e-05,0.0014907322,0.20168866,0.0006556912,0.007685346,0.14514798,0.00020633686,0.12667331,0.11541606,0.00010143534,9.19935e-05,0.00028686487,0.011741446,0.10110039,0.0001953338,0.00027442948,0.032991208,0.013287209
Arhgef4,10.997045,8.462721,0.029580621,0.50610596,0.6918267,2.9777975,0.0015843607,3.62379e-05,0.001444465,2.2953815e-05,0.00028382352,0.0012591176,0.023167275,0.039680026,0.35990122,1.6823925,0.123117715,8.2025865e-05,1.030209,1.1544036,0.066460066,0.07101052
Fam168b,0.7563625,1.0645423,0.23003605,0.62097466,0.70911825,0.3530506,0.3891573,0.20812799,0.38679978,0.38766634,0.10938315,0.59183973,0.2015619,0.3736895,0.3651043,0.4064242,0.31071687,0.52197737,1.1511563,1.1942292,0.42673948,0.35216513
Plekhb2,0.21389452,0.29094705,0.04192622,0.36751717,0.41584694,0.086258665,0.14633022,0.0002451217,0.0022133687,0.10595882,5.7962206e-05,0.21686853,0.063763976,0.0037211424,0.04777456,0.06453449,0.05410802,0.21930295,0.6312987,0.6468979,0.06351542,0.062281463
Hs6st1,0.17579977,0.25070912,0.05914545,0.18878241,0.33999503,0.10425521,0.21635227,0.10119246,0.16757102,0.23311885,0.083845384,0.27804062,0.03829435,0.18254189,0.1095332,0.11757971,0.03835534,0.2789417,0.41939706,0.486309,0.063802466,0.10916271
Uggt1,0.48432928,0.89650524,0.26267532,0.68895674,0.8722933,0.26807353,0.39410192,0.47579905,0.7702311,0.32766312,0.31754628,0.56716806,0.33683494,0.5623503,0.4762127,0.42074934,0.29165763,0.4199948,1.4373744,1.5995057,0.38690907,0.39722592
Neurl3,0.0052768025,0.020891873,0.3271954,9.462833e-05,9.487308e-05,0.008278075,0.5348875,0.0019813285,0.0051183226,0.22176813,0.000503049,0.23433305,0.26237777,0.00024148874,0.002674829,0.010541997,0.0163567,0.37803668,0.00022265672,0.00019580912,0.036134917,0.016676063
Arid5a,0.2761075,0.72154355,0.07829878,0.014186218,0.056714233,0.045744043,0.08138277,0.066114455,0.16681093,0.03120201,0.02820703,0.0377517,0.1146463,0.04717924,0.046730366,0.12799384,0.10261167,0.027425772,0.07955609,0.05888192,0.08854922,0.048480853
Kansl3,0.5735978,0.992378,0.12448756,0.51219225,0.65926343,0.30373263,0.25956285,0.33538875,0.5125222,0.21921487,0.21258067,0.42681077,0.14868541,0.3459456,0.33269304,0.37017387,0.30110422,0.294227,1.063558,1.1644105,0.35983455,0.38186824
Lman2l,0.19154851,0.32045716,0.08718723,0.4553603,0.4379446,0.24048176,0.1828251,0.1242472,0.24059479,0.18506174,0.06302572,0.27571127,0.056976475,0.19590366,0.1925509,0.22083151,0.11757037,0.18682283,0.55025744,0.38861287,0.18093573,0.17567468
Cnnm4,0.055644996,0.11719681,0.047035366,0.08682274,0.115924984,0.04201032,0.052521076,0.041447956,0.080558926,0.040781103,0.022496881,0.079847805,0.024279552,0.07133569,0.050342895,0.054156575,0.030848512,0.0397444,0.14016953,0.14113325,0.030822027,0.049357012
Cnnm3,0.23308493,0.28001076,0.053829055,0.2288017,0.30687827,0.088560104,0.10837734,0.17978337,0.2642964,0.09234862,0.12502591,0.13298316,0.08037743,0.15847778,0.15505202,0.15264486,0.09332452,0.11799274,0.40582153,0.43905932,0.11721349,0.12031234
Sema4c,0.040112678,0.11615412,0.015023129,0.009529971,0.01644802,0.014159221,0.062981814,0.13788722,0.24813864,0.08055718,0.04994868,0.10270285,0.01588423,0.21171573,0.05427341,0.075426,0.10859405,0.04558963,0.019389661,0.011586157,0.13100958,0.077814974
Fam178b,0.005083266,0.020870928,0.0017875453,8.342197e-05,0.0009136617,0.0035675836,0.0049142838,0.072315454,0.23652408,0.0046211844,0.020214204,0.0055904426,0.0012446624,0.09045432,0.0064107343,0.027429182,0.0098324865,0.0029342014,0.0055895126,0.0055561955,0.0056901667,0.008770821
Cox5b,0.1677444,0.11044538,0.004533511,3.5811972e-05,6.0060607e-05,0.025991114,0.0038743133,3.1567724e-05,7.921113e-05,0.00031209746,0.000106424355,0.0011231003,0.010571297,0.0004702612,0.00035423422,0.002129873,0.024968654,0.0005727062,0.0012142899,8.3953404e-05,0.11721717,0.04698377
Actr1b,0.25517902,0.41094968,0.014450462,0.50091314,0.7143728,0.0998563,0.01257786,0.028937364,0.08971937,0.010956787,0.00857007,0.040005658,0.0055837664,0.13499044,0.12159291,0.1386417,0.059962016,0.015987827,1.092922,1.0008976,0.099007465,0.091466814
Tmem131,0.898525,1.1629939,0.35798612,1.6824394,1.4630575,0.5054112,0.81415147,0.644412,1.1168419,0.54712915,0.4460953,0.7882905,0.36398256,0.67754906,0.64101875,0.5952069,0.8837984,0.7000011,2.1656523,2.0978827,0.8552072,0.62976646
Vwa3b,0.1468675,0.123790815,0.0018186416,0.2586779,0.019078953,0.8484721,0.0012632759,0.082201056,0.58560157,2.575601e-05,0.018205188,0.00052778894,0.0016672818,0.008232577,0.009566305,0.04869944,0.023203628,6.713715e-05,0.018135682,0.01215329,0.005345084,0.014786998
Cnga3,0.00209789,0.013637129,0.001502876,0.034653235,0.010994251,0.00049769966,0.00040874255,0.00029198805,0.0015671172,0.00027003055,0.00029966762,0.001124379,0.00048970483,0.0009699678,0.0011658067,0.00021475618,0.0021554236,0.00019678286,0.008281311,0.008046653,0.00028766235,0.00063527917
Inpp4a,0.38121563,0.81466675,0.13307314,1.0061653,1.2391174,0.38797224,0.551899,0.0024053757,0.024759036,0.3666129,0.052258816,0.64311236,0.22671409,1.448246,0.60447466,0.5002052,0.27814093,0.9721256,1.945804,1.8674031,0.2804113,0.37573415
Unc50,0.2684753,0.3038564,0.006770967,0.020848297,0.03297106,0.07413272,0.003922915,0.019816354,0.036708917,0.000745299,0.01657739,0.0034943782,0.004964808,0.026201922,0.03120696,0.05066255,0.05794346,0.0030544323,0.05411527,0.042957596,0.16222982,0.11321565
Mgat4a,0.4356744,0.77337575,0.39520594,1.054063,0.7063291,0.41242996,0.88955617,0.015807021,0.110649884,1.0780796,0.00850349,1.150217,0.3741446,0.2543221,0.66341543,0.9213825,0.50401896,0.5795972,1.3917586,1.2356488,0.69081235,0.4271804
Tsga10,0.49803028,0.80109817,0.09666103,0.53819275,0.6969004,2.4566252,0.3131151,0.48804477,1.2431598,0.30567256,0.22951919,0.2867871,0.06648001,0.29054525,0.2764373,0.3514333,0.16980812,0.38234767,1.3326675,1.4458297,0.14304626,0.23588985
Mitd1,0.1982108,0.2811459,0.10133244,0.1353165,0.17949313,0.14667489,0.12407504,0.11946231,0.18864377,0.07175823,0.093932666,0.11449867,0.14093792,0.13117112,0.11514247,0.13250421,0.09349052,0.08937224,0.3053045,0.33173785,0.21876165,0.15327935
Mrpl30,0.045002263,0.052815866,0.007594788,0.00012273925,0.00022307773,0.0123077715,0.0039194017,9.0933245e-05,0.00044148872,0.0010927257,0.00018592652,0.001718626,0.0032912605,0.0010754595,0.0025661984,0.0034033183,0.008736863,0.0011790327,0.0021494422,0.00044060225,0.06611106,0.01855644
