,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Cenpn,0.007866049,0.75305295,0.0014221185,0.017244864,0.021233682,0.009652715,0.010955364,0.013066801,0.020307409,0.0062649404,0.009926444,0.30782747,0.0023747315,0.033527583,0.1010033,0.020746205,0.029458564,0.008078933,0.04863205,0.049063325,0.010675403,0.016439935
Atmin,0.041589685,0.038161,0.016681876,0.055903494,0.092354484,0.020050932,0.03090634,3.6362257e-05,0.00042843743,0.029678965,6.766922e-05,0.048065722,0.009742949,0.11768519,0.060245834,0.05401851,0.0139989555,0.03411205,0.19379002,0.19833246,0.031782806,0.017638762
Gcsh,0.1410098,0.18561287,0.0016258869,0.00072375726,0.04255754,0.044003963,0.00044658783,2.967327e-05,8.5018364e-05,4.071151e-05,4.7997186e-05,0.0017765717,0.0028268707,0.0016899959,0.006837133,0.015786843,0.01445694,0.0013729512,0.007393123,0.006975061,0.02416654,0.01768975
Pkd1l2,0.008847953,0.022473495,0.0040102014,0.023772655,1.9463584,0.0072666346,0.01972747,0.00018931212,0.002242074,0.0058227796,0.001283486,0.027719218,0.0032065106,0.009226318,0.007450433,0.012552972,0.003058023,0.03422667,0.06032571,0.036368012,0.004990971,0.005977293
Gan,0.5244936,0.63649637,0.053374343,0.25725847,0.28779307,0.12849651,0.15882896,0.23276028,0.40868586,0.109963454,0.1299425,0.23422433,0.07455496,0.29587525,0.1754228,0.23468155,0.094642,0.1892864,0.50811946,0.5313579,0.14917031,0.19008757
Cmip,1.3397292,2.8278382,1.1177127,4.817348,4.599605,0.6506272,3.1796365,1.9067217,4.634262,2.358274,0.9924989,3.742103,1.4605634,4.9018064,1.7909029,2.1833274,0.1626015,3.5621734,6.7542105,6.0672407,0.7071701,1.5772976
Plcg2,0.033921283,0.05379252,1.1266407,0.004537876,0.0135985855,0.022274572,1.5474133,0.02789759,0.102211446,1.4702376,0.0026986583,2.0266273,0.17948242,0.03147873,0.023162328,0.053307977,0.054636274,1.6217115,0.0034877486,0.00369242,0.23049207,0.10444011
Sdr42e1,0.05785273,0.07080309,0.013550972,0.024812173,0.038475,0.012981015,0.0114305895,0.044317547,0.05881152,0.015622324,0.032634474,0.02628658,0.0010701669,0.025006754,0.06773401,0.044882927,0.046568595,0.023206854,0.08067078,0.05806049,0.016868874,0.01749537
Hsd17b2,0.0027973265,0.0089109065,0.0016499725,0.0063864654,0.018322058,0.0040213214,0.00048258033,2.5887497e-05,0.0003056391,0.00015158817,1.4811402e-05,0.00065431837,0.00032998231,0.001303394,0.007248753,0.006842501,0.0006015477,0.00028101672,0.33507365,0.45472497,0.00035211767,0.0005218532
AABR07064999.1,0.10086087,0.14618039,0.012365615,0.07274687,0.07446893,0.065696314,0.017851409,0.06253451,0.10155061,0.00927232,0.037044942,0.037618764,0.0064337933,0.069165714,0.075667314,0.070482135,0.06903662,0.020739159,0.11342471,0.108964995,0.058924343,0.07277427
Cdh13,1.7168891,6.5108495,0.060839444,6.6317964,3.7718909,0.6718017,0.0067677563,0.0040174215,0.021029478,3.816957e-05,0.028299866,0.007989254,0.041257836,4.22534,5.1160536,3.1345932,0.22853515,0.0010705256,9.7053385,7.2522373,3.1306262,0.99719834
Hsbp1,0.17568295,0.18078567,0.0059634163,4.613797e-05,7.188663e-05,0.0387293,0.001729722,0.004184442,0.0071168323,0.000312774,0.0056932624,0.000609594,0.011599555,0.004121182,0.0021262781,0.005720994,0.037440393,0.00021854922,0.00055822625,0.00012261888,0.16028643,0.04633126
Mlycd,0.11494508,0.09910624,0.03158471,0.13779528,0.14380276,0.061002478,0.05456944,0.082471415,0.13935259,0.056325268,0.054126624,0.0729076,0.035062354,0.10154112,0.077961706,0.079390034,0.06308633,0.07120198,0.22822514,0.23189506,0.06878529,0.074024454
Necab2,0.004844027,0.008787877,0.0014337611,0.42791378,0.19434157,0.00744101,0.00028322087,2.3580391e-05,7.669053e-05,1.8891633e-05,1.3749735e-05,0.00020129957,0.00039849192,0.005271169,0.042423096,0.009963329,0.0025767456,0.00017782995,0.27727047,0.14952338,0.0006997625,0.0013960976
Mbtps1,0.36100692,0.58511597,0.13524899,0.38527808,0.49313125,0.2169402,0.18381333,0.29661754,0.4568059,0.1833605,0.22197331,0.27444243,0.18065524,0.3588181,0.29858157,0.26488543,0.2014305,0.2136943,0.8164214,0.86866707,0.29577544,0.3983538
Hsdl1,0.05009602,0.06449504,0.03299238,0.09262398,0.09144966,0.046278905,0.06624093,0.013659097,0.0294427,0.063396804,0.00654125,0.092544004,0.036483236,0.015944125,0.017772608,0.024371171,0.020501394,0.08709247,0.14033048,0.12216101,0.078509964,0.04207206
Taf1c,0.050924383,0.084637396,0.008693417,0.055613752,0.05853234,0.02209956,0.025625855,0.025458379,0.043514125,0.024466436,0.01257747,0.038621478,0.018629506,0.043852948,0.038578875,0.042183384,0.023708975,0.034690518,0.12365787,0.12013459,0.026290353,0.031200359
Kcng4,0.12123935,0.025101582,0.0016461695,0.0033207927,0.0052475412,0.016780691,0.00032470722,2.4773894e-05,8.765742e-05,1.7591865e-05,6.8644265e-05,0.0002026143,0.0016081509,0.0010223588,0.009200916,0.009177965,0.008688065,3.5323756e-05,0.04216716,0.05965235,0.004162133,0.0027221008
Wfdc1,0.02346288,0.011422262,0.0042468635,5.3954824e-05,6.114727e-05,0.0069526746,0.0012165145,3.3478987e-05,0.00011589492,0.00019960076,1.8359286e-05,0.0011252427,0.0028520478,6.264661e-05,0.00016520012,0.0019194618,0.0054125353,0.00028694954,7.6180026e-05,8.703514e-05,0.33569306,0.05150502
Cotl1,0.46505615,0.4607753,0.32870194,0.030356005,0.015929816,0.18052,0.9644456,0.0034284166,0.04689674,1.1965907,0.00019368326,1.7243987,0.4635171,0.0010622137,0.028509239,0.111409545,0.12791786,1.7020261,0.031982087,0.022972686,0.14558807,0.1392261
Klhl36,0.065576196,0.06194121,0.023405397,0.04320309,0.051113036,0.015837198,0.044797853,0.023400338,0.060385562,0.046449266,0.010073589,0.04608608,0.021585414,0.005183954,0.023573413,0.032508254,0.027780525,0.044000708,0.08113661,0.09402135,0.034282517,0.027485587
Zdhhc7,0.119968615,0.12730066,0.031735267,0.1003488,0.13640001,0.05570635,0.07351563,0.054491352,0.093469135,0.057283703,0.035631996,0.09763612,0.03995742,0.18335976,0.07995703,0.07825562,0.048888315,0.08544638,0.22722636,0.23711446,0.11652116,0.08829694
